kode,homebase
AI101,S1 - Agama Islam - Hukum Ekonomi Syariah
AI102,S1 - Agama Islam - Ilmu Al Quran dan Tafsir
AI103,S1 - Agama Islam - Pendidikan Agama Islam
AI201,S2 - Agama Islam - Hukum Ekonomi Syariah
AI202,S2 - Agama Islam - Pendidikan Agama Islam
AI301,S3 - Agama Islam - Pendidikan Agama Islam
EB101,S1 - Ekonomi dan Bisnis - Akuntansi
EB102,S1 - Ekonomi dan Bisnis - Ekonomi Pembangunan
EB103,S1 - Ekonomi dan Bisnis - Manajemen
EB201,S2 - Ekonomi dan Bisnis - Akuntansi
EB202,S2 - Ekonomi dan Bisnis - Manajemen
FA101,S1 - Farmasi - Farmasi
FA201,S2 - Farmasi - Farmasi
FA401,Profesi - Farmasi - Apoteker
GE101,S1 - Geografi - Geografi
HP101,S1 - Hukum dan Ilmu Politik - Ilmu Hukum
HP201,S2 - Hukum dan Ilmu Politik - Ilmu Hukum
HP301,S3 - Hukum dan Ilmu Politik - Ilmu Hukum
IK101,S1 - Ilmu Kesehatan - Fisioterapi
IK102,S1 - Ilmu Kesehatan - Ilmu Gizi
IK103,S1 - Ilmu Kesehatan - Keperawatan
IK104,S1 - Ilmu Kesehatan - Kesehatan Masyarakat
IK201,S2 - Ilmu Kesehatan - Fisioterapi
IK202,S2 - Ilmu Kesehatan - Keperawatan
IK401,Profesi - Ilmu Kesehatan - Fisioterapi
IK402,Profesi - Ilmu Kesehatan - Ners
IK403,Profesi - Ilmu Kesehatan - Pendidikan Profesi Dietisien
KD101,S1 - Kedokteran - Pendidikan Dokter
KD201,S2 - Kedokteran - Administrasi Rumah Sakit
KD401,Profesi - Kedokteran - Dokter
KG101,S1 - Kedokteran Gigi - Kedokteran Gigi
KG401,Profesi - Kedokteran Gigi - Dokter Gigi
KI101,S1 - Komunikasi dan Informatika - Ilmu Komunikasi
KI102,S1 - Komunikasi dan Informatika - Informatika
KI201,S2 - Komunikasi dan Informatika - Informatika
KP101,S1 - Keguruan dan Ilmu Pendidikan - Pendidikan Akuntansi
KP102,S1 - Keguruan dan Ilmu Pendidikan - Pendidikan Bahasa dan Sastra Indonesia
KP103,S1 - Keguruan dan Ilmu Pendidikan - Pendidikan Bahasa Inggris
KP104,S1 - Keguruan dan Ilmu Pendidikan - Pendidikan Biologi
KP105,S1 - Keguruan dan Ilmu Pendidikan - Pendidikan Geografi
KP106,S1 - Keguruan dan Ilmu Pendidikan - Pendidikan Guru Pendidikan Anak Usia Dini
KP107,S1 - Keguruan dan Ilmu Pendidikan - Pendidikan Guru Sekolah Dasar
KP108,S1 - Keguruan dan Ilmu Pendidikan - Pendidikan Jasmani Program Sarjana
KP109,S1 - Keguruan dan Ilmu Pendidikan - Pendidikan Matematika
KP110,S1 - Keguruan dan Ilmu Pendidikan - Pendidikan Pancasila dan Kewarganegaraan
KP111,S1 - Keguruan dan Ilmu Pendidikan - Pendidikan Teknik Informatika
KP201,S2 - Keguruan dan Ilmu Pendidikan - Administrasi Pendidikan
KP202,S2 - Keguruan dan Ilmu Pendidikan - Pendidikan Bahasa Indonesia
KP203,S2 - Keguruan dan Ilmu Pendidikan - Pendidikan Bahasa Inggris
KP204,S2 - Keguruan dan Ilmu Pendidikan - Pendidikan Dasar
KP205,S2 - Keguruan dan Ilmu Pendidikan - Pendidikan Matematika
KP301,S3 - Keguruan dan Ilmu Pendidikan - Pendidikan
KP401,Profesi - Keguruan dan Ilmu Pendidikan - Pendidikan Profesi Guru
PS101,S1 - Psikologi - Psikologi
PS201,S2 - Psikologi - Psikologi
PS401,Profesi - Psikologi - Psikologi Profesi
TK101,S1 - Teknik - Arsitektur
TK102,S1 - Teknik - Sekolah Vokasi
TK103,S1 - Teknik - Teknik Elektro
TK104,S1 - Teknik - Teknik Industri
TK105,S1 - Teknik - Teknik Kimia
TK106,S1 - Teknik - Teknik Mesin
TK107,S1 - Teknik - Teknik Sipil
TK201,S2 - Teknik - Teknik Kimia
TK202,S2 - Teknik - Teknik Mesin
TK203,S2 - Teknik - Teknik Sipil
TK401,Profesi - Teknik - Insinyur
VK001,Vokasi Lain-lain - Vokasi - Sekolah Vokasi
